,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,slope20,slope20s1p,slope_chg_up,slope_chg_dn,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2
86,2022-06-30 00:45:00,11616.0,11616.0,11616.0,11616.0,-5.3915211403036665,1.5632048508853202,-6.954725991188987,42.80620906544289,0,0,11616.4,11615.3,11634.04,-0.3048970572761539,16.36784560598676,y,n,-4.8537887321163,-6.5345385393744495,n,n,n,n,-5.770350197441076,-7.345527203910317,n,n,y
87,2022-06-30 00:45:00,11618.25,11618.25,11618.25,11618.25,-4.8537887321163,1.6807498072581497,-6.5345385393744495,45.58563257384334,0,0,11617.0,11615.2375,11633.34,-9.070456536068304,-0.3048970572761539,n,y,-4.257516460947954,-6.07913412368915,n,n,n,n,-5.3915211403036665,-6.954725991188987,n,n,y
88,2022-06-30 00:46:00,11619.75,11619.75,11619.75,11619.75,-4.257516460947954,1.821617662741196,-6.07913412368915,47.420136810270584,0,0,11617.55,11615.3125,11632.68,-10.69787367488859,-9.070456536068304,n,y,-2.6250237532130996,-5.3883120495939405,n,n,n,n,-4.8537887321163,-6.5345385393744495,n,n,y
89,2022-06-30 00:46:00,11633.75,11633.75,11633.75,11633.75,-2.6250237532130996,2.763288296380841,-5.3883120495939405,60.72802942785389,0,0,11619.05,11616.3625,11632.325,17.024501570614575,-10.69787367488859,n,y,-1.0368881701924693,-4.518027273713646,n,n,n,n,-4.257516460947954,-6.07913412368915,n,n,y
90,2022-06-30 00:47:00,11637.25,11637.25,11637.25,11637.25,-1.0368881701924693,3.481139103521177,-4.518027273713646,63.23337853970492,0,0,11620.8,11617.4125,11632.075,32.252583024008466,17.024501570614575,y,n,-0.259438489249078,-3.666309516820733,n,n,n,n,-2.6250237532130996,-5.3883120495939405,n,n,n
91,2022-06-30 00:47:00,11631.25,11631.25,11631.25,11631.25,-0.259438489249078,3.406871027571655,-3.666309516820733,56.57075297340589,0,0,11621.725,11618.45,11631.645,40.70961840439726,32.252583024008466,y,n,0.21302993302015238,-2.8904416268525557,n,n,n,n,-1.0368881701924693,-4.518027273713646,n,n,n
92,2022-06-30 00:48:00,11629.5,11629.5,11629.5,11629.5,0.21302993302015238,3.103471559872708,-2.8904416268525557,54.758486977535945,0,0,11622.85,11619.35,11631.135,42.871851525810385,40.70961840439726,y,n,2.2559834839939867,-1.861156604683247,n,n,n,n,-0.259438489249078,-3.666309516820733,n,n,n
93,2022-06-30 00:48:00,11650.5,11650.5,11650.5,11650.5,2.2559834839939867,4.117140088677234,-1.861156604683247,68.0044921367998,0,0,11626.55,11621.0875,11631.345,39.228966366940604,42.871851525810385,y,n,3.850821924399497,-0.7187608988666983,n,n,n,n,0.21302993302015238,-2.8904416268525557,n,n,y
94,2022-06-30 00:49:00,11650.75,11650.75,11650.75,11650.75,3.850821924399497,4.569582823266195,-0.7187608988666983,68.12414278871182,0,0,11630.45,11622.6625,11631.605,44.906164873423705,39.228966366940604,y,n,4.577822731846027,0.34055582727584666,n,n,n,n,2.2559834839939867,-1.861156604683247,n,n,y
95,2022-06-30 00:49:00,11644.75,11644.75,11644.75,11644.75,4.577822731846027,4.2372669045701805,0.34055582727584666,62.11996947585513,0,0,11633.175,11624.4375,11631.59,44.279097772323794,44.906164873423705,y,n,5.075298319083231,1.2875043256373235,n,n,n,n,3.850821924399497,-0.7187608988666983,n,n,y
